Name,MP ,GS ,A ,CS ,GC ,OG ,PS ,PM ,YC ,RC ,S ,B ,ESP ,BPS ,TP ,fpl_base.Team,Score,Opponent,H/A,GW,Pos,Difficulty rank,Difficulty desc,PID,B (PPI),B +/-,Own%
Sterling,90,1,0,0,1,0,0,0,1,0,0,0,34,6,6,LIV,3 - 1,CAR,Home,17,MID,2,Very favourable,206,2,-2,33
Allen,90,0,0,0,1,0,0,0,0,0,0,0,13,4,2,LIV,3 - 1,CAR,Home,17,MID,2,Very favourable,207,0,,2
Coutinho,82,0,0,0,1,0,0,0,0,0,0,0,1,5,2,LIV,3 - 1,CAR,Home,17,MID,2,Very favourable,209,0,,0.054
Suárez,90,2,1,0,1,0,0,0,0,0,0,3,53,20,16,LIV,3 - 1,CAR,Home,17,FWD,2,Very favourable,214,3,0,0.5
De Gea,90,0,0,0,1,0,0,0,0,0,0,0,12,2,2,MUN,3 - 1,WHU,Home,17,GKP,6,Favourable,242,0,,0.092
Smalling,90,0,0,0,1,0,0,0,0,0,0,0,17,6,2,MUN,3 - 1,WHU,Home,17,DEF,6,Favourable,244,0,,4
Jones,90,0,0,0,1,0,0,0,0,0,0,0,23,5,2,MUN,3 - 1,WHU,Home,17,DEF,6,Favourable,245,0,,19
Rafael,90,0,0,0,1,0,0,0,0,0,0,0,15,4,2,MUN,3 - 1,WHU,Home,17,DEF,6,Favourable,246,0,,7
Evra,79,0,0,1,0,0,0,0,0,0,0,0,12,6,6,MUN,3 - 1,WHU,Home,17,DEF,6,Favourable,249,0,,106
Evans,90,0,0,0,1,0,0,0,0,0,0,0,13,6,2,MUN,3 - 1,WHU,Home,17,DEF,6,Favourable,250,0,,17
Büttner,11,0,0,0,1,0,0,0,0,0,0,0,-2,0,1,MUN,3 - 1,WHU,Home,17,DEF,6,Favourable,251,0,,2
Valencia,90,0,0,0,1,0,0,0,0,0,0,0,18,2,2,MUN,3 - 1,WHU,Home,17,MID,6,Favourable,253,0,,0.013
Cleverley,90,0,0,0,1,0,0,0,0,0,0,0,25,5,2,MUN,3 - 1,WHU,Home,17,MID,6,Favourable,259,0,,8
Young,22,1,0,0,1,0,0,0,0,0,0,0,23,7,6,MUN,3 - 1,WHU,Home,17,MID,6,Favourable,260,0,,1
Januzaj,68,1,0,1,0,0,0,0,1,0,0,0,30,7,7,MUN,3 - 1,WHU,Home,17,MID,6,Favourable,521,1,-1,96
